text,category
Software engineer at Google with expertise in Python and machine learning,Tech
Full stack developer working at Microsoft on cloud infrastructure,Tech
Data scientist at Amazon using deep learning and NLP for product recommendations,Tech
Android developer at Apple with skills in Kotlin and Java,Tech
DevOps engineer at Netflix specializing in Kubernetes and CI/CD pipelines,Tech
Cybersecurity analyst at IBM working on threat detection and penetration testing,Tech
Machine learning engineer at Meta building recommendation systems,Tech
Backend developer at Flipkart skilled in Node.js and microservices,Tech
Cloud architect at AWS designing scalable distributed systems,Tech
Computer vision researcher at NVIDIA developing object detection models,Tech
Investment banker at Goldman Sachs specializing in mergers and acquisitions,Finance
Financial analyst at JP Morgan managing equity portfolios and risk assessment,Finance
Chartered accountant at Deloitte handling audits and tax compliance,Finance
Stock market trader at NSE with expertise in derivatives and commodities,Finance
Bank manager at SBI overseeing retail banking operations,Finance
Insurance actuary at LIC calculating risk and premium structures,Finance
Portfolio manager at HDFC managing mutual funds and asset allocation,Finance
Credit analyst at Citibank evaluating loan applications and risk profiles,Finance
Financial consultant at KPMG advising clients on mergers and tax strategies,Finance
Wealth manager at Morgan Stanley handling high net worth client portfolios,Finance
Professor of computer science at IIT Delhi teaching algorithms and data structures,Education
School principal managing curriculum and faculty at Delhi Public School,Education
Educational consultant developing STEM programs for K-12 students,Education
University lecturer in mathematics at Mumbai University,Education
Training coordinator at EdTech company creating online learning content,Education
Academic researcher at IISc publishing papers in quantum computing,Education
Special education teacher working with differently-abled students,Education
Career counselor helping students with college admissions and career guidance,Education
Curriculum developer designing CBSE syllabus material for science subjects,Education
Online instructor teaching Python and data science on Coursera,Education
MBA graduate working as management consultant at McKinsey and Company,Management
Operations manager at Tata Motors overseeing supply chain and logistics,Management
HR director at Infosys managing talent acquisition and employee engagement,Management
Project manager at TCS leading agile teams in software delivery,Management
Product manager at Zomato driving product strategy and user growth,Management
General manager at Reliance Industries heading retail business unit,Management
Business analyst at Wipro analyzing processes and improving efficiency,Management
Marketing manager at HUL running digital campaigns and brand strategy,Management
Supply chain manager at Mahindra optimizing vendor relationships and inventory,Management
Strategy consultant at BCG helping Fortune 500 companies with growth planning,Management
PhD researcher at MIT working on quantum computing and photonics,Research
Biomedical researcher at AIIMS studying cancer biomarkers and drug delivery,Research
Environmental scientist at ISRO analyzing satellite data for climate research,Research
Neuroscience researcher at NIMHANS studying brain disorders and cognition,Research
Material science researcher at TIFR developing new polymer composites,Research
Clinical research associate conducting pharmaceutical drug trials,Research
Space science researcher at DRDO working on propulsion systems,Research
Agricultural researcher at ICAR developing drought-resistant crop varieties,Research
Social science researcher studying poverty and economic inequality in India,Research
Genomics researcher at CSIR mapping genetic markers for hereditary diseases,Research
Startup founder building an AI-powered legal tech platform for small businesses,Entrepreneur
Co-founder of a fintech startup providing microloans to rural farmers,Entrepreneur
Serial entrepreneur who built three successful e-commerce ventures,Entrepreneur
Founder of an edtech startup delivering vernacular language learning apps,Entrepreneur
Entrepreneur running a SaaS company for restaurant management systems,Entrepreneur
Social entrepreneur building affordable solar energy solutions for villages,Entrepreneur
Angel investor and startup founder in the health tech space,Entrepreneur
Bootstrapped founder of a logistics startup connecting local transporters,Entrepreneur
Founder of a D2C fashion brand leveraging sustainable materials,Entrepreneur
Entrepreneur who launched a food delivery startup competing with Swiggy,Entrepreneur
